"","Phase","species","Competition_treatment","pair_code","competitive_rank","sample_size","trait","RII","RII_se","ITV","ITV_se"
"172","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii","Superior",45,"SMC",-0.00356829219354806,0.0134375762621625,0.152363934691787,NA
"173","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii.1","Superior",45,"SMC",-0.178300675004185,0.00932755375192629,0.152363934691787,NA
"174","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii.2","Inferior",45,"SMC",-0.306634081097522,0.0441275758983597,0.152363934691787,NA
"175","Phase I: pairwise homogeneous experiment","Q. chenii","Competition-free","Q..chenii.3","Superior",45,"SMC",-0.165569106808909,0.0201398862159319,0.152363934691787,NA
"176","Phase I: pairwise homogeneous experiment","S. superba","Competition-free","S..superba","Inferior",43,"SMC",-0.330327767442783,1.81170829742371,0.28325507605546,NA
"177","Phase I: pairwise homogeneous experiment","C. glauca","Competition","C. glauca-C. myrsinifolia","Superior",39,"Chl",-0.20061820287413,1.03504719963866,0.113312086937504,NA
"178","Phase I: pairwise homogeneous experiment","C. glauca","Competition","C. glauca-C. sclerophylla","Superior",44,"Chl",-0.231588784981267,4.29304140047585,0.128419961728114,NA
"179","Phase I: pairwise homogeneous experiment","C. glauca","Competition","C. glauca-Q. chenii","Inferior",31,"Chl",-0.340228733806371,1.61849788211075,0.14259541252971,NA
"180","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition","C. myrsinifolia-C. glauca","Inferior",41,"Chl",-0.252084663493536,1.94703746872138,0.118614157980921,NA
"181","Phase I: pairwise homogeneous experiment","C. myrsinifolia","Competition","C. myrsinifolia-Q. chenii","Inferior",49,"Chl",-0.340023730506761,0.427960889080374,0.12666277115553,NA
"182","Phase I: pairwise homogeneous experiment","C. sclerophylla","Competition","C. sclerophylla-C. glauca","Inferior",40,"Chl",-0.235505239615598,0.227883760265433,0.168418984620786,NA
"183","Phase I: pairwise homogeneous experiment","H. acerba","Competition","H. acerba-P. sheareri","Superior",45,"Chl",-0.0881310486499513,0.198054904857014,0.408143336217204,NA
"184","Phase I: pairwise homogeneous experiment","H. acerba","Competition","H. acerba-Q. chenii","Superior",41,"Chl",-0.10146734967176,1.03504719963866,0.48894790837421,NA
"185","Phase I: pairwise homogeneous experiment","L. harlandii","Competition","L. harlandii-S. superba","Superior",44,"Chl",-0.210393280708171,4.29304140047585,0.158068513161332,NA
"186","Phase I: pairwise homogeneous experiment","P. sheareri","Competition","P. sheareri-H. acerba","Inferior",42,"Chl",-0.357118072953801,1.61849788211075,0.266504223556275,NA
"187","Phase I: pairwise homogeneous experiment","P. sheareri","Competition","P. sheareri-Q. chenii","Inferior",44,"Chl",-0.404847094317761,1.94703746872138,0.230880349979262,NA
"188","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-C. glauca","Superior",27,"Chl",-0.00356829219354806,0.427960889080374,0.216343806037899,NA
"189","Phase I: pairwise homogeneous experiment","Q. chenii","Competition","Q. chenii-C. myrsinifolia","Superior",52,"Chl",-0.178300675004185,0.227883760265433,0.144876807882122,NA
